date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T12:16:41.857612139Z;eui-70b3d57ed00633b8;-61;13.5;11011;20.50;43.52;969.05;;;;42.00;5.00;40.20;33.69
2024-02-22T12:17:48.149741018Z;eui-70b3d57ed00633b8;-58;11.5;11011;20.50;43.52;969.10;;;;42.00;5.00;40.20;33.69
2024-02-22T12:20:00.740953822Z;eui-70b3d57ed00633b8;-60;13;11011;20.54;43.51;969.00;;;;42.00;5.00;40.20;33.69
2024-02-22T12:21:06.075073110Z;eui-70b3d57ed00633b8;-56;13.25;11011;20.52;43.49;969.00;;;;42.00;5.00;40.20;33.69
2024-02-22T12:22:11.390505472Z;eui-70b3d57ed00633b8;-59;14;11011;20.58;43.34;968.96;;;;42.00;5.00;40.20;33.69
2024-02-22T12:23:17.684441272Z;eui-70b3d57ed00633b8;-57;13.75;11011;20.61;43.47;968.93;;;;42.00;5.00;40.20;33.69
2024-02-22T12:24:23.016850608Z;eui-70b3d57ed00633b8;-54;13;11011;20.59;43.45;968.91;50.047363;10.206038;247.30;42.00;5.00;40.20;33.69
2024-02-22T12:25:29.323319782Z;eui-70b3d57ed00633b8;-58;11.75;11011;20.50;43.68;968.86;;;;42.00;5.00;40.20;33.69
2024-02-22T12:26:35.613067187Z;eui-70b3d57ed00633b8;-58;13.75;11011;20.63;43.63;968.83;;;;42.00;5.00;40.20;33.69
2024-02-22T12:27:41.917048525Z;eui-70b3d57ed00633b8;-58;14;11011;20.65;43.63;968.78;;;;42.00;5.00;40.20;33.69
2024-02-22T12:28:48.213670318Z;eui-70b3d57ed00633b8;-56;10.75;11011;20.75;43.48;968.74;;;;42.00;5.00;40.20;33.69
2024-02-22T12:29:54.504778043Z;eui-70b3d57ed00633b8;-53;13.5;11011;20.75;42.92;968.63;;;;42.00;5.00;40.20;33.69
2024-02-22T12:31:00.811052762Z;eui-70b3d57ed00633b8;-53;13.25;11011;20.78;43.00;968.65;;;;42.00;5.00;40.20;33.69
2024-02-22T12:32:07.084346402Z;eui-70b3d57ed00633b8;-56;9.25;11011;20.81;42.90;968.57;;;;42.00;5.00;40.20;33.69
2024-02-22T12:33:13.371137795Z;eui-70b3d57ed00633b8;-53;13.5;11011;20.81;42.96;968.57;;;;42.00;5.00;40.20;33.69
2024-02-22T12:34:18.707204238Z;eui-70b3d57ed00633b8;-56;13.75;11011;20.81;42.95;968.56;;;;42.00;5.00;40.20;33.69
2024-02-22T12:35:24.997398065Z;eui-70b3d57ed00633b8;-60;13.5;11011;20.84;43.08;968.51;;;;42.00;5.00;40.20;33.69
2024-02-22T12:36:31.295663792Z;eui-70b3d57ed00633b8;-52;13.25;11011;20.87;43.15;968.41;;;;42.00;5.00;40.20;33.69
2024-02-22T12:37:37.590037565Z;eui-70b3d57ed00633b8;-53;13.5;11011;20.82;42.91;968.46;;;;42.00;5.00;40.20;33.69
2024-02-22T12:38:43.868760687Z;eui-70b3d57ed00633b8;-53;13.5;11011;20.85;42.82;968.39;;;;42.00;5.00;40.20;33.69
2024-02-22T12:39:50.166658883Z;eui-70b3d57ed00633b8;-52;11;11011;20.89;42.70;968.40;;;;42.00;5.00;40.20;33.69
2024-02-22T12:40:56.459333373Z;eui-70b3d57ed00633b8;-56;14.25;11011;20.92;43.03;968.13;;;;42.00;5.00;40.20;33.69
2024-02-22T12:42:02.759461737Z;eui-70b3d57ed00633b8;-58;13.75;11011;20.94;42.58;968.29;;;;42.00;5.00;40.20;33.69
2024-02-22T12:43:09.046105799Z;eui-70b3d57ed00633b8;-58;12.5;11011;20.92;42.88;968.32;;;;42.00;5.00;40.20;33.69
2024-02-22T12:44:15.350217558Z;eui-70b3d57ed00633b8;-58;13;11011;20.94;42.66;968.24;;;;42.00;5.00;40.20;33.69
2024-02-22T12:45:21.631175646Z;eui-70b3d57ed00633b8;-59;14.25;11011;20.96;42.86;968.17;;;;42.00;5.00;40.20;33.69
2024-02-22T12:46:27.926098470Z;eui-70b3d57ed00633b8;-56;13.75;11011;20.98;42.70;968.28;;;;42.00;5.00;40.20;33.69
2024-02-22T12:47:34.224216710Z;eui-70b3d57ed00633b8;-57;10.5;11011;20.99;42.63;968.37;;;;42.00;5.00;40.20;33.69
2024-02-22T12:52:17.437446910Z;eui-70b3d57ed00633b8;-53;15.75;11011;21.01;42.58;968.33;;;;42.00;5.00;40.20;33.69
2024-02-22T12:54:01.909532406Z;eui-70b3d57ed00633b8;-57;13.25;11011;21.00;42.61;968.34;;;;42.00;5.00;40.20;33.69
2024-02-22T12:55:08.192706941Z;eui-70b3d57ed00633b8;-56;13.25;11011;21.05;42.47;968.18;;;;42.00;5.00;40.20;33.69
2024-02-22T12:56:13.645542550Z;eui-70b3d57ed00633b8;-54;11.25;11011;21.09;42.84;968.20;;;;42.00;5.00;40.20;33.69
2024-02-22T12:57:19.931649256Z;eui-70b3d57ed00633b8;-53;13.5;11011;21.09;42.59;968.20;;;;42.00;5.00;40.20;33.69
2024-02-22T12:58:26.233530494Z;eui-70b3d57ed00633b8;-53;14;11011;21.10;42.73;968.21;;;;42.00;5.00;40.20;33.69
2024-02-22T12:59:32.519664558Z;eui-70b3d57ed00633b8;-57;13.25;11011;21.11;42.77;968.06;;;;42.00;5.00;40.20;33.69
2024-02-22T13:00:38.825453297Z;eui-70b3d57ed00633b8;-53;13.5;11011;21.09;42.63;967.96;;;;42.00;5.00;40.20;33.69
2024-02-22T13:01:45.113235036Z;eui-70b3d57ed00633b8;-58;10.75;11011;21.09;42.69;968.00;;;;42.00;5.00;40.20;33.69
2024-02-22T13:02:51.403035543Z;eui-70b3d57ed00633b8;-56;13.75;11011;21.13;42.94;968.04;;;;42.00;5.00;40.20;33.69
2024-02-22T13:03:57.698081522Z;eui-70b3d57ed00633b8;-58;13.25;11011;21.12;42.95;968.02;;;;42.00;5.00;40.20;33.69
2024-02-22T13:05:03.989854611Z;eui-70b3d57ed00633b8;-54;13.25;11011;21.12;42.98;968.02;;;;42.00;5.00;40.20;33.69
2024-02-22T13:06:10.300273627Z;eui-70b3d57ed00633b8;-57;13.25;11011;21.13;43.04;967.97;;;;42.00;5.00;40.20;33.69
2024-02-22T13:10:30.692720564Z;eui-70b3d57ed00633b8;-56;14.75;11011;21.14;42.59;968.01;;;;42.00;5.00;40.20;33.69
2024-02-22T13:11:58.366627448Z;eui-70b3d57ed00633b8;-48;13.25;11011;21.14;42.62;968.05;;;;42.00;5.00;40.20;33.69
2024-02-22T13:13:27.612668896Z;eui-70b3d57ed00633b8;-57;10;11011;21.14;42.88;967.98;50.047256;10.205847;216.90;42.00;5.00;40.20;33.69
