date;device-id;rssi;snr;payload
2024-02-19T13:56:45.192503558Z;eui-70b3d57ed00633b8;-52;11.75;25.27C,41.40%,997.33Pa
2024-02-19T13:57:51.314817085Z;eui-70b3d57ed00633b8;-49;13.5;25.29C,41.28%,997.33Pa
2024-02-19T13:58:57.461474006Z;eui-70b3d57ed00633b8;-51;13.5;25.31C,43.54%,997.33Pa
2024-02-19T14:00:03.591778505Z;eui-70b3d57ed00633b8;-53;13.75;25.28C,36.84%,997.34Pa
2024-02-19T14:01:09.723696666Z;eui-70b3d57ed00633b8;-52;11.75;25.23C,35.19%,997.34Pa
2024-02-19T14:02:15.849440949Z;eui-70b3d57ed00633b8;-50;13.25;25.15C,35.35%,997.34Pa
2024-02-19T14:03:21.968399009Z;eui-70b3d57ed00633b8;-49;9.5;25.06C,36.07%,997.34Pa
2024-02-19T14:04:28.096707757Z;eui-70b3d57ed00633b8;-50;13.25;24.97C,36.81%,997.34Pa
2024-02-19T14:05:34.247122492Z;eui-70b3d57ed00633b8;-49;13.25;24.88C,38.47%,997.34Pa
2024-02-19T14:06:40.367200666Z;eui-70b3d57ed00633b8;-52;13.5;24.81C,38.79%,997.33Pa
2024-02-19T14:07:46.496765504Z;eui-70b3d57ed00633b8;-53;11.5;24.75C,39.49%,997.33Pa
2024-02-19T14:08:52.619224308Z;eui-70b3d57ed00633b8;-52;13.5;24.69C,41.41%,997.32Pa
2024-02-19T14:09:58.749147108Z;eui-70b3d57ed00633b8;-52;13.5;24.66C,40.64%,997.31Pa
2024-02-19T14:11:04.881319513Z;eui-70b3d57ed00633b8;-49;13.5;24.30C,41.29%,997.23Pa
2024-02-19T14:12:11.020539912Z;eui-70b3d57ed00633b8;-50;13.5;24.39C,40.73%,997.17Pa
2024-02-19T14:13:17.140853659Z;eui-70b3d57ed00633b8;-51;10.25;24.39C,41.24%,997.16Pa
2024-02-19T14:14:23.276438449Z;eui-70b3d57ed00633b8;-52;13.5;24.39C,41.43%,997.15Pa
2024-02-19T14:15:29.396093972Z;eui-70b3d57ed00633b8;-53;13.75;24.40C,41.32%,997.15Pa
2024-02-19T14:16:35.541541505Z;eui-70b3d57ed00633b8;-53;13.25;24.53C,41.36%,997.10Pa
